story_code,story_name,plot_summary_25_50_words,author_code,in_what_order_are_the_investigation_and_reveal_portions_provided,name_of_detective_number_1,detective_number_1_gender,detective_number_1_role,name_of_detective_number_2,detective_number_2_gender,detective_number_2_role,name_of_assistant_number_1,assistant_number_1_gender,assistant_number_1_role,name_of_assistant_number_2,assistant_number_2_gender,assistant_number_2_role,more_than_two_assistants_if_yes_enter_total_number,number_of_victims_of_gender_male,number_of_victims_of_gender_female,number_of_culprits_of_gender_male,number_of_culprits_of_gender_female,number_of_culprits_of_gender_non_binary,number_of_culprits_of_gender_unknown,are_one_or_more_culprits_introduced_into_the_story_only_during_the_reveal,the_main_culprit,who_initiates_the_detectives_investigation,what_is_the_role_of_the_police_force_in_solving_the_crime,the_storys_main_action_focuses_on_a,when_do_es_the_crime_s_mystery_being_investigated_occur,types_of_crimes_or_quasi_crimes_present_in_story,motives,means_murder_only,does_the_story_provide_sufficient_clues_in_sufficient_detail_to_allow_an_alert_reader_to_correctly_guess_the_solution_before_the_reveal,does_the_story_provide_sufficient_clues_in_sufficient_detail_to_allow_an_alert_reader_to_definitively_solve_the_crime_before_the_reveal,did_either_annotator_personally_correctly_guess_the_solution_to_the_crime_before_the_reveal,types_of_clues,what_is_the_essential_clue_in_the_story_if_present,of_what_type_is_the_essential_clue_if_present,what_is_the_most_salient_clue_in_the_story_if_clues_are_present,of_what_type_is_the_most_salient_clue_if_clues_are_present,describe_the_main_red_herring_if_present,of_what_type_is_the_main_red_herring_if_present,presence_of_planted_or_fabricated_evidence,types_of_evidence_made_available_in_the_story,is_the_crime_solved,does_the_detective_pointedly_and_independently_decide_not_to_alert_the_authorities_to_the_facts_of_the_crime_despite_the_fact_that_an_actionable_crime_has_been_committed,do_you_receive_a_satisfying_narrative_of_account_of_the_crime_s_in_all_their_relevant_details_and_a_summary_of_the_process_by_which_the_crime_s_are_solved,how_satisfying_is_this_story_as_a_piece_of_detective_fiction,would_you_recommend_this_story_to_a_friend,crime_trajectory,what_is_the_reveal_border_sentence,surname_s,given_name_s,sex,year_of_birth,country_of_birth,city_town_of_birth,date_of_death_yyyy_mm_dd,country_of_death,city_town_of_death,nationality_ies,viaf,story_url,date_of_first_publication_yyyy_mm_dd,format_of_first_publication_journal_or_book,name_of_journal_or_title_of_book,text_words,before_reveal_words,after_reveal_words,title_words,unique,year_published
CKS03,The Bacteriological Detective,The beautiful Miss Eveline Bisbee seeks Craig Kennedy’s help when her wealthy guardian dies of typhoid. Is there a new outbreak of typhoid in the city- or is there something more sinister afoot?,ABR,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,3,0,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Fraud, Forgery",Greed,"Indirectly, by an elaborate device, Other",Yes,Yes,Yes,"Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","Handwriting on both the will and the recommendation letter indicated heart disease, which Mr. Bisbee did not suffer from.",Physical clue,"The modifications to the will, which benefited James Denny.",Testimonial clue,Bridget handled the water bottles in which typhoid bacteria was found.,Physical clue,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,No qrime → qrime,"Promptly at nine we were assembled, a curious crowd.",Reeve,Arthur B.,M,1880-10-15,United States of America,"Brooklyn, New York",1936-08-09,United States of America,"Trenton, New Jersey",American,https://viaf.org/viaf/73002380/,Follow links here: http://freeread.com.au/@rglibrary/ArthurBReeve/CraigKennedy/@CraigKennedy.html,1911-02-01,Journal,Cosmopolitan,6682,4687,1988,30,FALSE,1911
PVDS44,The Mystery of the Grip of Death,"When a man is suddenly found murdered naked in a closed room with no possible exits, the Thinking Machine delves into this case of love and absurdity as we read one of Futrelle’s most unpredictable stories yet.",JF,Standard,Augustus Van Dusen,Male,Independent amateur,NA,NA,NA,Hutchinson Hatch,Male,Independent amateur,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Quasi-crime,Before the investigation,Suspected murder,Love,"Asphyxiation, Accident",Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",The rats in the building,Physical clue,The fact the doors were closed when the man died,Physical clue,The argument between Cunningham and Boyd,Testimonial clue,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,Qrime → no qrime,"""Well, who did kill Boyd?"" asked Hatch, amazed.",Futrelle,Jacques,M,1875-04-09,United States of America,"Pike County, Georgia",1912-04-15,Atlantic Ocean,RMS Titanic,American,https://viaf.org/viaf/9880305/,http://freeread.com.au/@rglibrary/JacquesFutrelle/VanDusen/PVD-45-TheGripOfDeath.html,1905-03-21,Book,The Thinking Machine,8799,8799,1916,33,FALSE,1905
PVDS45,The Mystery of the Man Who Was Lost,"Suddenly finding himself in a hotel room with an unfamiliar name and $10,000 in cash, the victim has no idea who he is or what kind of predicament led to his current situation; that’s for Professor Dusen to find out.",JF,Standard,Augustus Van Dusen,Male,Independent amateur,NA,NA,NA,Hutchinson Hatch,Male,Independent amateur,NA,NA,NA,NA,1,0,2,1,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Fraud, Assault, Forgery",Greed,NA,No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The telegram that Mr.Bell was at the city,Physical clue,The shoes under the name of Preston Bell,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,No qrime → qrime,"""Put your best man to follow her,"" he directed rapidly.",Futrelle,Jacques,M,1875-04-09,United States of America,"Pike County, Georgia",1912-04-15,Atlantic Ocean,RMS Titanic,American,https://viaf.org/viaf/9880305/,http://freeread.com.au/@rglibrary/JacquesFutrelle/VanDusen/PVD-46-TheManWhoWasLost.html,1905-03-21,Book,The Thinking Machine,10232,10232,2751,36,FALSE,1905
PVDS46,The Mystery of a Studio,"When the subject of one of the most praised art pieces of London suddenly disappears, the Thinking Machine once again uses his deductive skills to make sense of a jealous lover’s mysterious letter and a sudden burglary.",JF,Standard,Augustus Van Dusen,Male,Independent amateur,NA,NA,NA,Hutchinson Hatch,Male,Independent amateur,NA,NA,NA,NA,2,1,2,0,0,0,No,Acts alone,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Kidnapping, Breaking and entering","Jealousy, Love, Pride","Poison, Firearm",Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The door being burst in during the robbery,Physical clue,Grace’s resemblance to the painting,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,Qrime → same qrime,"""Now, Mr. Hatch, I suppose you want some details,"" said The Thinking Machine, as he relapsed into his accustomed attitude.",Futrelle,Jacques,M,1875-04-09,United States of America,"Pike County, Georgia",1912-04-15,Atlantic Ocean,RMS Titanic,American,https://viaf.org/viaf/9880305/,http://freeread.com.au/@rglibrary/JacquesFutrelle/VanDusen/PVD-47-TheMysteryOfAStudio.html,1905-03-21,Book,The Thinking Machine,9397,9397,1562,24,FALSE,1905
PVDS47,The Mystery of the Ralston Bank Burglary,"When money suddenly goes missing from a bank safe, and a man is found beaten almost to death, questions arise and nobody is to be trusted. Who was responsible for this robbery, and what does violet perfume have to do with it?",JF,Standard,Augustus Van Dusen,Male,Independent amateur,NA,NA,NA,Hutchinson Hatch,Male,Independent amateur,NA,NA,NA,NA,1,0,3,1,0,0,Yes,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Theft, Fraud, Mischief, Breaking and entering",Greed,NA,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The violet perfume on the handkerchief,Physical clue,The disheveled apartment,Physical clue,NA,NA,"Planted, Fabricated","Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,Qrime → same qrime,"That night the little ""party"" was held in the apartments of The Thinking Machine.",Futrelle,Jacques,M,1875-04-09,United States of America,"Pike County, Georgia",1912-04-15,Atlantic Ocean,RMS Titanic,American,https://viaf.org/viaf/9880305/,http://freeread.com.au/@rglibrary/JacquesFutrelle/VanDusen/PVD-48-TheRalstonBankBurglary.html,1905-03-21,Book,The Thinking Machine,9805,9805,3623,41,FALSE,1905
PVDS48,The Mystery of the Scarlet Thread,"A man is nearly murdered by a gas leak in his apartment on four separate occasions, and a young French maid in the same building is found dead of the same cause. Who is responsible for this crime? This story will leave you hanging by a thread!",JF,Standard,Augustus Van Dusen,Male,Independent amateur,NA,NA,NA,Hutchinson Hatch,Male,Independent amateur,NA,NA,NA,NA,1,1,1,1,0,0,No,Acts mostly alone with some assistance,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Blackmail, Assault","Jealousy, Pride","Firearm, Asphyxiation",Yes,No,No,"Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The thread from the bathrobe,Physical clue,"The valet being french, along with the maid",Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,Qrime → same qrime,For a long time no one spoke. The Thinking Machine had dropped back into a chair and was staring through his thick glasses at the ceiling; his finger tips were pressed tightly together.,Futrelle,Jacques,M,1875-04-09,United States of America,"Pike County, Georgia",1912-04-15,Atlantic Ocean,RMS Titanic,American,https://viaf.org/viaf/9880305/,http://freeread.com.au/@rglibrary/JacquesFutrelle/VanDusen/PVD-49-TheScarletThread.html,1905-03-21,Book,The Thinking Machine,11107,11107,2218,34,FALSE,1905
ATT01,The Queensferry Mystery,"After a series of serious burglaries, ranging from missing jewelry to valuable silver being stolen, Detective Tatlock comes to the scene to help Mrs. Bertha Wylie recover her goods. However, twist after turn, we soon find out that things may be a lot more complicated than expected.",JEPM,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Theft, Assault, Breaking and entering",Greed,NA,No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The interview with Mrs. Wylie,Testimonial clue,Mrs. Wylie’s suspicious behaviour,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,No,1,No,Qrime → same qrime,That afternoon Tyler Tatlock entered Mr. Scott's office.,Muddock,J. E. Preston,M,1843-04-28,England,Southampton,1934-01-23,England,London,"British, English",https://viaf.org/viaf/26949841/,http://freeread.com.au/@rglibrary/JEMuddock/Donovan/Stories/TheAdventuresOfTylerTatlock.html#ch01,1900-11-01,Book,The Adventures of Tylor Tatlock,5916,5237,673,24,FALSE,1900
CKS15,The Master Counterfeiter,"Tom Burke of the Secret Service comes to Craig Kennedy with three masterful counterfeits- a hundred dollar bill, a five-pound note, and an express-money order- and a strange tale of a man whose fingerprints did not match, the second time he was arrested. How can this couple lead a counterfeit scam in daylight and yet manages to elude capture?",ABR,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,0,0,1,1,0,0,No,Acts together with one or more equal partners,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Fraud, Assault, Forgery",Greed,NA,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",Lump of paraffin found in the drawer.,Physical clue,Items found in the drawer of the Riverwood house.,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,Qrime → same qrime,"""Here,"" he began, ""we have the finger-prints of a man who was one of the most noted counterfeiters in Great Britain.",Reeve,Arthur B.,M,1880-10-15,United States of America,"Brooklyn, New York",1936-08-09,United States of America,"Trenton, New Jersey",American,https://viaf.org/viaf/73002380/,Follow links here: http://freeread.com.au/@rglibrary/ArthurBReeve/CraigKennedy/@CraigKennedy.html,1912-02-01,Journal,Cosmopolitan,8255,6130,2106,25,FALSE,1912
CKS16,The Firebug (The Firefiend),"A curious epidemic of fires takes over London, lacking any possible criminal or clear motive. Chief Fire Marshall McCormick thinks it’s a firebug- a pyromaniac who sets fires for the sheer joy of destruction. But why is he targeting all the buildings controlled by Staceys, the department-store firm?",ABR,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,2,1,6,1,0,0,No,Acts on behalf of a crime syndicate,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Fraud, Mischief","Greed, Revenge, Paranoia","Arson, Knife/sword",Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","Notes given in favour of Rebecca Wend, signed by Joseph Stacey.",Physical clue,The murder of Rebecca Wend.,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,Qrime → same qrime,"WHEN next I saw Kennedy it was late in the afternoon, in the laboratory.",Reeve,Arthur B.,M,1880-10-15,United States of America,"Brooklyn, New York",1936-08-09,United States of America,"Trenton, New Jersey",American,https://viaf.org/viaf/73002380/,Follow links here: http://freeread.com.au/@rglibrary/ArthurBReeve/CraigKennedy/@CraigKennedy.html,1912-03-01,Journal,Cosmopolitan,7926,5681,2233,28,FALSE,1912
CKS17,The Yeggman,"When a string of pearls worth a million francs are stolen, leaving behind a chloroformed maid and a blown out safe, Professor Kennedy delves into the case only to cross paths with one of the most ingenious and unexpected criminals yet. Strangely, Mrs. Branston doesn’t seem very keen to have the pearls returned.",ABR,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,4,2,4,0,0,0,No,Acts mostly alone with some assistance,A private client,Police are present and contribute significantly to solving the crime,Crime,Before the investigation,"Murder, Theft, Assault, Kidnapping, Breaking and entering",Greed,Accident,No,No,No,"Illegible and never usable (illegible → never usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",Photo of Maloney planting pearls in the safe.,Physical clue,Gay Cat's testimony regarding a big haul.,Testimonial clue,"Mrs. Branston doesn’t cooperate with the investigation, and doesn’t seem keen on having those pearls returned.",Testimonial clue,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,Qrime → same qrime,I caught myself as in a dream.,Reeve,Arthur B.,M,1880-10-15,United States of America,"Brooklyn, New York",1936-08-09,United States of America,"Trenton, New Jersey",American,https://viaf.org/viaf/73002380/,Follow links here: http://freeread.com.au/@rglibrary/ArthurBReeve/CraigKennedy/@CraigKennedy.html,1912-04-01,Journal,Cosmopolitan,7936,7442,489,12,FALSE,1912
CKS18,The Poisoned Pen,"Murder, past lovers, and strange letters! When Miss Lytton is found dead with an incriminating letter lying on her desk, Professor Kennedy works to discover whether this letter is telling the truth or there’s possibly more to this case at hand.",ABR,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,2,1,2,0,0,0,No,Acts alone,A private client,Police are present and contribute significantly to solving the crime,Crime,Before the investigation,"Murder, Fraud, Forgery","Greed, Jealousy, Pride",Poison,No,No,No,"Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",The telegram from Kerr and Kimmel about who their client is.,Physical clue,The strange colour of Vera Lytton's ink.,Physical clue,"The note from Thurston, asking about headache-medicine.",Physical clue,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,Qrime → same qrime,"""In many respects this is the most remarkable case that it has ever been my lot to handle,"" began Kennedy.",Reeve,Arthur B.,M,1880-10-15,United States of America,"Brooklyn, New York",1936-08-09,United States of America,"Trenton, New Jersey",American,https://viaf.org/viaf/73002380/,Follow links here: http://freeread.com.au/@rglibrary/ArthurBReeve/CraigKennedy/@CraigKennedy.html,1912-05-01,Journal,Cosmopolitan,7731,4759,2954,17,FALSE,1912
ATT02,The Clue of the Silver Jug,"A man is found dead in a field, poisoned by oxalic acid, and after a container of acid is found in his pocket, the death is ruled as a suicide; however, conflicting evidence is brought to light by Tyler Tatlock!",JEPM,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Crime,Before the investigation,"Murder, Theft, Assault",Greed,Poison,No,No,No,"Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",Mr.Graveling’s check found in the writing desk,Physical clue,The shopkeeper’s suspicious behaviour and insistence on purchasing the silver jug,Testimonial clue,NA,NA,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,No qrime → qrime,The initial point which gave Tatlock his clue was the clean soles of the dead man's boots.,Muddock,J. E. Preston,M,1843-04-28,England,Southampton,1934-01-23,England,London,"British, English",https://viaf.org/viaf/26949841/,http://freeread.com.au/@rglibrary/JEMuddock/Donovan/Stories/TheAdventuresOfTylerTatlock.html#ch02,1900-11-01,Book,The Adventures of Tylor Tatlock,4554,2661,1878,27,FALSE,1900
ATT03,Tracing a Traitor,"In a time of high tensions between Russia and Britain, the English government learns that Russia is consistently being informed of their plans and operations and important drawings are found missing. Detective Tatlock appears, looking for this invisible traitor.",JEPM,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,2,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Theft, Fraud",Ideology,NA,Yes,No,Yes,Usable in real time (usable → usable),The relations between Countess X and Trapmore and Petrovitch,Testimonial clue,The envelope left behind,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,Qrime → same qrime,"Well, I believe they are both in Paris,' remarked the lady, with a wave of her white jewelled hand, as if she meant to convey that the discussion was closed, and she dismissed the subject and her unwelcome visitor at the same time.",Muddock,J. E. Preston,M,1843-04-28,England,Southampton,1934-01-23,England,London,"British, English",https://viaf.org/viaf/26949841/,http://freeread.com.au/@rglibrary/JEMuddock/Donovan/Stories/TheAdventuresOfTylerTatlock.html#ch03,1900-11-01,Book,The Adventures of Tylor Tatlock,5014,3776,1197,18,FALSE,1900
ATT04,The Big Loan Fraud,"A man is suddenly arrested under a charge of conspiracy, fraud, and forgery after attempting to obtain a loan, which ultimately leads to a trail of criminal pasts, an insane asylum, family tensions, and betrayal!",JEPM,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,4,0,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Fraud, Bribery, Forgery",Greed,NA,No,No,No,"Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The agreement document,Physical clue,The family history of Colonel Pritchard,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,No,1,No,No qrime → qrime,"I hold a warrant for your arrest on a charge of conspiracy, fraud, and forgery.'",Muddock,J. E. Preston,M,1843-04-28,England,Southampton,1934-01-23,England,London,"British, English",https://viaf.org/viaf/26949841/,http://freeread.com.au/@rglibrary/JEMuddock/Donovan/Stories/TheAdventuresOfTylerTatlock.html#ch04,1900-11-01,Book,The Adventures of Tylor Tatlock,3253,2470,770,19,FALSE,1900
CKS04,(The Story of) The Deadly Tube,"When a woman undergoing X-ray therapy for her skin dermatitis gets a horrible reaction, she blames her doctor, who’s life is about to fall apart as a result of this news! However, things are not as they seem, as Craig Kennedy soon finds out!",ABR,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,0,1,3,0,0,0,No,Acts mostly alone with some assistance,A private client,Police are not present,Crime,"Before the investigation, During the investigation",Assault,"Greed, Pride",NA,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The substance found in the room,Physical clue,The suspicious behaviour of Mr. Chase and the lawyers,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,Qrime → same qrime,That night six men gathered in Kennedy’s laboratory.,Reeve,Arthur B.,M,1880-10-15,United States of America,"Brooklyn, New York",1936-08-09,United States of America,"Trenton, New Jersey",American,https://viaf.org/viaf/73002380/,Follow links here: http://freeread.com.au/@rglibrary/ArthurBReeve/CraigKennedy/@CraigKennedy.html,1911-03-01,Journal,Cosmopolitan,6723,4291,2426,31,FALSE,1911
CKS35,The Bomb-Maker,"In a city populated by cocaine fiends hunting for the cocaine bug, District Attorney Carton finds himself in his office with a mail bomb. Rather than calling for the bomb squad, Carton calls for the help of Professor Kennedy. Can Kennedy get to the bottom of this case?",ABR,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,2,1,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Crime,"Before the investigation, During the investigation","Murder, Theft, Kidnapping, Trafficking","Greed, Insanity",Poison,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- newly usable clue (illegible → usable)",The workplace where the bomb was made,Physical clue,Lorraine’s testimony about Haddon,Testimonial clue,The testimony about Cocaine Brodie,Testimonial clue,NA,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,Qrime → same qrime,CARTON looked at Kennedy in amazement. Haddon was the last person in the world whom he had evidently expected to discover here.,Reeve,Arthur B.,M,1880-10-15,United States of America,"Brooklyn, New York",1936-08-09,United States of America,"Trenton, New Jersey",American,https://viaf.org/viaf/73002380/,Follow links here: http://freeread.com.au/@rglibrary/ArthurBReeve/CraigKennedy/@CraigKennedy.html,1913-11-01,Journal,Cosmopolitan,7424,7123,281,15,FALSE,1913
CKS36,The Ghouls,"(Orientalism) Montague Phelps is a rich, newly married gentleman who indulges in various travels. However, his fortune turns when his bank wipes out his fortune. Following this, Phelps enters a coma and dies, after which his grave is robbed. Can Professor Kennedy discover what caused this change of fate?",ABR,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,1,0,2,1,0,0,No,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Suspected murder, Fraud, Blackmail, Mischief, Breaking and entering",Greed,"Poison, Accident",Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The poison test and the X-ray performed on the body,Physical clue,The suspicious behavior of Mrs. Phelps,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,Qrime → no qrime,"We found Kennedy heating a large mass of some composition of rubber, such as dentists use in taking impressions of the teeth.",Reeve,Arthur B.,M,1880-10-15,United States of America,"Brooklyn, New York",1936-08-09,United States of America,"Trenton, New Jersey",American,https://viaf.org/viaf/73002380/,Follow links here: http://freeread.com.au/@rglibrary/ArthurBReeve/CraigKennedy/@CraigKennedy.html,1913-12-01,Journal,Cosmopolitan,7987,5574,2393,11,FALSE,1913
CKS39,The Billionaire Baby,"A woman is plagued with dark dreams about her child dying, who has an inheritance that many would die for! Craig Kennedy is put on the case to get to the root of her dark dreams!",ABR,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,0,1,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Quasi-crime,Before the investigation,"Murder, Fraud, Assault, Kidnapping","Greed, Jealousy, Pride",Poison,Yes,No,No,"Illegible and never usable (illegible → never usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",The fingerprints of the child compared to the women,Physical clue,The suspicious behaviour of Veronica,Testimonial clue,NA,NA,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,No qrime → qrime,"""Doctor Maudsley,"" said Craig, ""I have asked you to call alone because, while I, am on the verge of discovering the truth in an important case affecting Morton Hazleton and his wife, I am frankly perplexed as to how to go ahead.""",Reeve,Arthur B.,M,1880-10-15,United States of America,"Brooklyn, New York",1936-08-09,United States of America,"Trenton, New Jersey",American,https://viaf.org/viaf/73002380/,Follow links here: http://freeread.com.au/@rglibrary/ArthurBReeve/CraigKennedy/@CraigKennedy.html,1914-02-01,Journal,Cosmopolitan,7559,6190,1329,21,FALSE,1914
CKS40,The Radium Robber,"When radium goes missing from a safe, worth millions of dollars, Craig Kennedy must apply his ‘rad’ skills in order to determine the whereabouts of the chemicals!",ABR,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,1,1,1,0,0,2,No,Acts mostly alone with some assistance,A private client,Police are not present,Crime,"Before the investigation, During the investigation","Theft, Fraud, Assault",Greed,NA,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The open safe,Physical clue,The radioscopes lack of readings,Testimonial clue,The bandages on Henry and his recent bout of cancer,Physical clue,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,Qrime → different qrime,"I did so, found the switch, and turned on the lights. It was Denison himself!",Reeve,Arthur B.,M,1880-10-15,United States of America,"Brooklyn, New York",1936-08-09,United States of America,"Trenton, New Jersey",American,https://viaf.org/viaf/73002380/,Follow links here: http://freeread.com.au/@rglibrary/ArthurBReeve/CraigKennedy/@CraigKennedy.html,1914-03-01,Journal,Cosmopolitan,7468,7008,447,18,FALSE,1914
